gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|09099,3.5066,-0.2896,2.7919,-0.1037,0.9174,0.9352,triose-phosphate transporter
1104|09101,41.0738,3.5611,2.0109,1.7709,0.07658,0.1024,hypothetical protein CGLO_11983
1104|09102,130.8482,-4.4698,0.3119,-14.3288,1.446e-46,1.484e-45,---NA---
1104|09103,362.3039,-3.3985,0.1377,-24.689,1.404e-134,5.69e-133,v-type atpase
1104|09104,241.7017,0.7622,0.1455,5.2369,1.633e-07,4.066e-07,alpha amylase
1104|09105,271.6598,-1.5893,0.1921,-8.2743,1.292e-16,5.387e-16,rna polymerase ii transcription elongation factor
1104|09106,26.408,-2.4922,0.3602,-6.918,4.581e-12,1.524e-11,integral membrane protein
1104|09107,23.2026,-0.4062,0.3725,-1.0905,0.2755,0.3256,duf788 domain-containing protein
1104|09109,8.489,-0.4601,0.78,-0.5899,0.5553,0.6085,phosphatidylinositol 3
1104|09110,6.8932,3.6478,0.7276,5.0137,5.34e-07,1.279e-06,cullin family protein
1104|09111,192.0232,-1.9216,0.1973,-9.7403,2.03e-22,1.061e-21,trafficking protein particle complex subunit 2
1104|09113,3.7005,-0.5095,0.68,-0.7493,0.4537,0.5098,protein pbn1
1104|09114,422.7499,0.6652,0.1557,4.2713,1.944e-05,4.109e-05,c6 zinc finger domain-containing protein
1104|09115,179.6146,1.4936,0.1478,10.1092,5.031e-24,2.771e-23,60s acidic ribosomal protein
1104|09116,2.4735,-0.0275,0.779,-0.0353,0.9718,0.976,abc transporter
1104|09117,2.3328,3.4428,2.3307,1.4772,0.1396,0.1766,ebp domain-containing protein
1104|09118,6.2777,-4.5426,1.5012,-3.026,0.002478,0.004181,mitochondrial ribosomal protein
1104|09119,2.1006,-1.8198,1.2515,-1.4541,0.1459,0.1839,20s cyclosome subunit (nuc2 cdc27)
1104|09120,38.6316,-0.4471,0.3555,-1.2575,0.2086,0.2533,nuclear pore complex protein an-nup82
1104|09122,172.2923,-2.5254,0.1389,-18.1811,7.286e-74,1.213e-72,hypothetical protein CGGC5_7826
1104|09123,1.8243,5.7187,2.3784,2.4044,0.0162,0.02436,mrna capping enzyme
1104|09124,20.6391,-0.1126,0.401,-0.2809,0.7788,0.8191,hypothetical protein CGGC5_553
1104|09126,40.8284,2.4011,0.4295,5.5905,2.264e-08,5.939e-08,hypothetical protein CGGC5_554
1104|09128,16.7262,5.1101,0.8336,6.1298,8.797e-10,2.551e-09,homeobox domain-containing protein
1104|09129,15.4502,0.7287,0.3711,1.9633,0.04961,0.06899,60s ribosomal protein mitochondrial
1104|09130,112.0907,-1.3384,0.2351,-5.6919,1.257e-08,3.36e-08,phosphatidylinositol 3
1104|09131,2.1814,5.7371,2.4076,2.383,0.01717,0.02571,tyrosine-protein phosphatase non-receptor type partial
1104|09132,10.017,-1.466,0.9634,-1.5217,0.1281,0.1633,binuclear zinc transcription factor
1104|09134,160.0404,3.0373,0.3554,8.5457,1.278e-17,5.568e-17,hypothetical protein CGLO_07024
1104|09135,30.7184,9.8963,1.9671,5.0308,4.884e-07,1.172e-06,hypothetical protein CGGC5_12468
1104|09136,46.0924,0.7074,0.1845,3.8349,0.0001256,0.0002462,u1 small nuclear ribonucleoprotein
1104|09138,8.4126,7.1021,2.0172,3.5208,0.0004302,0.0007946,binuclear zinc transcription factor
1104|09139,110.0595,-1.704,0.1726,-9.8736,5.418e-23,2.88e-22,histone h4
1104|09140,556.5851,1.4801,0.3288,4.5015,6.749e-06,1.483e-05,---NA---
1104|09141,11.0562,1.8571,0.4672,3.9752,7.031e-05,0.0001418,hypothetical protein CGGC5_561
1104|09142,4.9705,2.8627,2.1743,1.3167,0.188,0.2308,triosephosphate isomerase
1104|09143,8.9486,-0.2896,2.7794,-0.1042,0.917,0.9352,c6 transcription factor
1104|09144,51.067,-1.4088,0.6523,-2.1599,0.03078,0.04433,---NA---
1104|09145,20.7822,-1.621,0.5143,-3.1522,0.001621,0.002799,hypothetical protein CGLO_04883
1104|09146,10.2696,6.7256,1.9964,3.3689,0.0007546,0.001352,dna polymerase family a
1104|09147,151.5261,-1.9151,0.1811,-10.5727,3.989e-26,2.365e-25,hypothetical protein CGLO_01977
1104|09148,1.6928,1.4866,1.4356,1.0355,0.3004,0.3521,cgr1 family protein
1104|09149,5.23,-5.5437,1.2269,-4.5184,6.229e-06,1.372e-05,px domain-containing protein
1104|09151,55.3674,-1.5292,0.2313,-6.6126,3.777e-11,1.183e-10,hypothetical protein S40285_09417
1104|09152,94.2073,-1.5644,0.2928,-5.3435,9.118e-08,2.302e-07,integral membrane protein
1104|09153,12.6389,1.9257,0.9328,2.0643,0.03899,0.05529,hypothetical protein CGGC5_8589
1104|09154,23.6354,-0.2896,2.7675,-0.1046,0.9167,0.9352,---NA---
