gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|10446,8.4031,5.1101,1.9791,2.582,0.009822,0.01661,---NA---
1104|10447,370.5741,0.4151,0.1171,3.5455,0.0003919,0.0008047,spherulin 4-like cell surface
1104|10448,108.2663,1.7015,0.2103,8.0893,6e-16,2.836e-15,alpha-acetolactate decarboxylase
1104|10449,17.7962,-4.2415,0.4006,-10.5889,3.354e-26,2.369e-25,transporter particle component
1104|10450,58.8843,-1.3563,0.2175,-6.2352,4.512e-10,1.538e-09,ethanolamine utilization protein
1104|10451,12.3585,-3.1227,0.4377,-7.1351,9.674e-13,3.875e-12,putative transposase
1104|10452,1.2796,-0.6997,0.9434,-0.7417,0.4583,0.5327,nudix domain-containing protein
1104|10453,51.6285,3.9155,0.2847,13.7508,5.034e-43,5.531e-42,hypothetical protein CGGC5_14259
1104|10455,55.1847,0.1501,0.1544,0.9716,0.3312,0.402,aromatic amino acid aminotransferase
1104|10456,1.863,0.1546,1.8572,0.0833,0.9336,0.9483,cytidine and deoxycytidylate deaminase zinc-binding region
1104|10457,50.6236,2.6881,0.3163,8.4986,1.919e-17,9.727e-17,glutathione s-transferase domain-containing protein
1104|10458,154.6123,11.3366,1.9698,5.7552,8.654e-09,2.712e-08,hypothetical protein CGGC5_1912
1104|10459,412.7714,-2.4644,0.2513,-9.8066,1.054e-22,6.616e-22,cral trio domain-containing protein
1104|10460,28.7585,4.2122,0.4668,9.0238,1.816e-19,1.006e-18,trna isopentenyltransferase
1104|10461,92.839,0.9943,0.2481,4.0074,6.139e-05,0.0001377,fungal specific transcription factor domain-containing protein
1104|10462,366.9786,1.6974,0.1461,11.6151,3.456e-31,2.847e-30,ammonium transporter
1104|10463,29.8138,-0.3504,0.4681,-0.7486,0.4541,0.5283,cellulose-binding family ii
1104|10464,67.4524,3.2651,0.3521,9.2732,1.806e-20,1.042e-19,---NA---
1104|10465,43.8118,-0.3379,0.2087,-1.6192,0.1054,0.1462,endo-beta- -mannanase
1104|10466,1.767,2.2078,1.3227,1.6692,0.09508,0.1333,hypothetical protein CGGC5_1306
1104|10467,6.9047,4.4488,1.0814,4.114,3.889e-05,8.911e-05,aspartic-type endopeptidase
1104|10468,1.3055,-2.2446,1.6015,-1.4015,0.1611,0.2134,cytidine and deoxycytidylate deaminase zinc-binding region
1104|10469,1125.392,-5.5694,0.1098,-50.721,0.0,0.0,---NA---
1104|10471,0.8058,2.565,1.9161,1.3387,0.1807,0.2363,hypothetical protein CGLO_04664
1104|10473,46.9491,7.0175,0.6887,10.1897,2.205e-24,1.474e-23,caspase domain-containing protein
1104|10474,1211.3198,2.831,0.1797,15.7573,6.118e-56,8.974e-55,---NA---
1104|10475,32.0756,5.6225,0.6886,8.165,3.213e-16,1.542e-15,---NA---
1104|10476,25.2735,1.6583,0.629,2.6362,0.008385,0.01435,abc transporter
1104|10479,2.5713,0.5392,0.9432,0.5717,0.5676,0.6398,zinc alcohol dehydrogenase
1104|10481,165.0101,2.6622,0.2065,12.8891,5.186e-38,5.12e-37,phospholipid-translocating p-type atpase
1104|10482,206.8347,0.6684,0.131,5.1026,3.35e-07,9.289e-07,scp-like extracellular protein
1104|10483,16.3416,-7.7692,1.0996,-7.0658,1.597e-12,6.306e-12,hypothetical protein CGGC5_14988
1104|10484,3.7746,-1.7529,0.7503,-2.3363,0.01947,0.0313,cell wall protein
1104|10485,1.2984,-2.2084,2.2992,-0.9605,0.3368,0.4075,hypothetical protein CGLO_04014
1104|10486,211.4249,-5.8359,0.2066,-28.2483,1.494e-175,1.126e-173,---NA---
1104|10487,13.3648,-3.3441,1.1855,-2.8207,0.004792,0.008538,protein transport protein sec61 alpha subunit
1104|10488,219.4922,-7.5911,0.4383,-17.3208,3.28e-67,5.959e-66,hypothetical protein CGGC5_14988
1104|10489,3.0633,-2.2751,0.9166,-2.482,0.01306,0.02161,fad binding domain-containing protein
1104|10491,10.3763,4.0546,0.7211,5.6225,1.883e-08,5.745e-08,tata-binding protein interacting
1104|10492,95.3377,0.8658,0.4602,1.8811,0.05995,0.08776,hypothetical protein CGGC5_1302
1104|10495,365.8442,-3.4342,0.2891,-11.8795,1.513e-32,1.3e-31,hypothetical protein CFIO01_07372
1104|10496,16.486,-4.2884,0.6803,-6.3039,2.903e-10,1.006e-09,---NA---
1104|10498,8.6876,-6.1987,1.4603,-4.2449,2.187e-05,5.143e-05,hypothetical protein CGGC5_12997
1104|10499,18.167,1.8633,0.9663,1.9283,0.05382,0.07956,hypothetical protein CGGC5_12999
1104|10501,114.6931,-1.0772,0.3184,-3.3828,0.0007175,0.001429,---NA---
1104|10502,3.5753,1.395,0.7163,1.9474,0.05148,0.07653,hypothetical protein CGGC5_8901
1104|10503,3.4163,1.1238,1.3474,0.8341,0.4042,0.4779,hypothetical protein CGGC5_1298
1104|10504,25.2713,1.0179,0.3593,2.8333,0.004607,0.008228,mannosyl transferase
1104|10505,46.3757,4.3545,1.9781,2.2013,0.02771,0.04339,---NA---
1104|10509,6.0908,0.8653,0.639,1.3543,0.1756,0.2304,acetolactate synthase
1104|10512,332.1739,6.1493,0.6157,9.9875,1.729e-23,1.119e-22,---NA---
1104|10513,141.298,-4.4731,0.1662,-26.9112,1.623e-159,1.045e-157,---NA---
1104|10514,2.4003,2.4473,1.5843,1.5447,0.1224,0.1674,apc13 domain-containing protein
