sample,mate,cycle,mean_q,q25,median_q,q75,n_reads
APP1,2,88,38.833,42.0,42.0,42.0,100000
APP1,2,89,38.745,37.0,42.0,42.0,100000
APP1,2,90,38.836,37.0,42.0,42.0,100000
APP1,2,91,38.827,42.0,42.0,42.0,100000
APP1,2,92,38.704,37.0,42.0,42.0,100000
APP1,2,93,38.714,37.0,42.0,42.0,100000
APP1,2,94,38.73,37.0,42.0,42.0,100000
APP1,2,95,38.662,37.0,42.0,42.0,100000
APP1,2,96,38.785,37.0,42.0,42.0,100000
APP1,2,97,38.882,42.0,42.0,42.0,100000
APP1,2,98,38.774,37.0,42.0,42.0,100000
APP1,2,99,38.711,37.0,42.0,42.0,100000
APP1,2,100,38.608,37.0,42.0,42.0,100000
APP1,2,101,38.572,37.0,42.0,42.0,100000
APP1,2,102,38.437,37.0,42.0,42.0,100000
APP1,2,103,38.381,37.0,42.0,42.0,100000
APP1,2,104,38.403,37.0,42.0,42.0,100000
APP1,2,105,38.453,37.0,42.0,42.0,100000
APP1,2,106,38.372,37.0,42.0,42.0,100000
APP1,2,107,38.229,37.0,42.0,42.0,100000
APP1,2,108,38.131,37.0,42.0,42.0,100000
APP1,2,109,38.101,37.0,42.0,42.0,100000
APP1,2,110,38.123,37.0,42.0,42.0,100000
APP1,2,111,37.85,37.0,42.0,42.0,100000
APP1,2,112,37.826,37.0,42.0,42.0,100000
APP1,2,113,37.734,37.0,42.0,42.0,100000
APP1,2,114,37.596,37.0,42.0,42.0,100000
APP1,2,115,37.216,37.0,42.0,42.0,100000
APP1,2,116,37.167,37.0,42.0,42.0,100000
APP1,2,117,37.213,37.0,42.0,42.0,100000
APP1,2,118,37.408,37.0,42.0,42.0,100000
APP1,2,119,37.217,37.0,42.0,42.0,100000
APP1,2,120,37.126,37.0,42.0,42.0,100000
APP1,2,121,37.096,37.0,42.0,42.0,100000
APP1,2,122,37.039,37.0,42.0,42.0,100000
APP1,2,123,36.885,37.0,42.0,42.0,100000
APP1,2,124,36.857,37.0,42.0,42.0,100000
APP1,2,125,36.708,37.0,42.0,42.0,100000
APP1,2,126,36.692,32.0,42.0,42.0,100000
APP1,2,127,36.694,32.0,42.0,42.0,100000
APP1,2,128,36.464,32.0,42.0,42.0,100000
APP1,2,129,36.321,32.0,42.0,42.0,100000
APP1,2,130,36.279,32.0,42.0,42.0,100000
APP1,2,131,36.122,32.0,42.0,42.0,100000
APP1,2,132,36.227,32.0,42.0,42.0,100000
APP1,2,133,35.927,32.0,42.0,42.0,100000
APP1,2,134,35.868,32.0,42.0,42.0,100000
APP1,2,135,35.732,32.0,42.0,42.0,100000
APP1,2,136,35.514,32.0,42.0,42.0,100000
APP1,2,137,35.502,32.0,42.0,42.0,100000
APP1,2,138,35.275,32.0,42.0,42.0,100000
APP1,2,139,35.461,32.0,42.0,42.0,100000
APP1,2,140,35.381,32.0,42.0,42.0,100000
APP1,2,141,35.085,32.0,37.0,42.0,100000
APP1,2,142,34.774,32.0,37.0,42.0,100000
APP1,2,143,34.524,32.0,37.0,42.0,100000
APP1,2,144,34.461,32.0,37.0,42.0,100000
APP1,2,145,34.501,32.0,37.0,42.0,100000
APP1,2,146,34.219,32.0,37.0,42.0,100000
APP1,2,147,33.657,27.0,37.0,42.0,100000
APP1,2,148,33.711,32.0,37.0,42.0,100000
APP1,2,149,33.411,27.0,37.0,42.0,100000
APP1,2,150,33.194,27.0,37.0,42.0,100000
APP2,1,1,31.489,32.0,32.0,32.0,100000
APP2,1,2,31.595,32.0,32.0,32.0,100000
APP2,1,3,35.891,37.0,37.0,37.0,100000
APP2,1,4,36.268,37.0,37.0,37.0,100000
APP2,1,5,36.391,37.0,37.0,37.0,100000
APP2,1,6,40.526,42.0,42.0,42.0,100000
APP2,1,7,40.767,42.0,42.0,42.0,100000
APP2,1,8,40.972,42.0,42.0,42.0,100000
APP2,1,9,41.026,42.0,42.0,42.0,100000
APP2,1,10,40.829,42.0,42.0,42.0,100000
APP2,1,11,40.991,42.0,42.0,42.0,100000
APP2,1,12,40.995,42.0,42.0,42.0,100000
APP2,1,13,40.939,42.0,42.0,42.0,100000
APP2,1,14,40.945,42.0,42.0,42.0,100000
APP2,1,15,40.805,42.0,42.0,42.0,100000
APP2,1,16,40.958,42.0,42.0,42.0,100000
APP2,1,17,40.961,42.0,42.0,42.0,100000
APP2,1,18,40.982,42.0,42.0,42.0,100000
APP2,1,19,40.973,42.0,42.0,42.0,100000
APP2,1,20,40.854,42.0,42.0,42.0,100000
APP2,1,21,40.883,42.0,42.0,42.0,100000
APP2,1,22,40.861,42.0,42.0,42.0,100000
APP2,1,23,40.871,42.0,42.0,42.0,100000
APP2,1,24,40.77,42.0,42.0,42.0,100000
APP2,1,25,40.826,42.0,42.0,42.0,100000
APP2,1,26,40.712,42.0,42.0,42.0,100000
APP2,1,27,40.706,42.0,42.0,42.0,100000
APP2,1,28,40.641,42.0,42.0,42.0,100000
APP2,1,29,40.528,42.0,42.0,42.0,100000
APP2,1,30,40.621,42.0,42.0,42.0,100000
APP2,1,31,40.569,42.0,42.0,42.0,100000
APP2,1,32,40.635,42.0,42.0,42.0,100000
APP2,1,33,40.58,42.0,42.0,42.0,100000
APP2,1,34,40.513,42.0,42.0,42.0,100000
APP2,1,35,40.574,42.0,42.0,42.0,100000
APP2,1,36,40.572,42.0,42.0,42.0,100000
APP2,1,37,40.485,42.0,42.0,42.0,100000
APP2,1,38,40.555,42.0,42.0,42.0,100000
APP2,1,39,40.622,42.0,42.0,42.0,100000
APP2,1,40,40.513,42.0,42.0,42.0,100000
APP2,1,41,40.294,42.0,42.0,42.0,100000
APP2,1,42,40.476,42.0,42.0,42.0,100000
APP2,1,43,40.474,42.0,42.0,42.0,100000
APP2,1,44,40.467,42.0,42.0,42.0,100000
APP2,1,45,40.484,42.0,42.0,42.0,100000
APP2,1,46,40.344,42.0,42.0,42.0,100000
