sample,mate,trimLeft,truncLen,maxEE,final_read_len,reads_in,reads_out,pct_kept
CON3,1,0,150,2.0,150,100000,97307,97.31
CON3,1,0,150,5.0,150,100000,99922,99.92
CON3,1,10,100,1.0,90,100000,97624,97.62
CON3,1,10,100,2.0,90,100000,99652,99.65
CON3,1,10,100,5.0,90,100000,100000,100.0
CON3,1,10,125,1.0,115,100000,95611,95.61
CON3,1,10,125,2.0,115,100000,98967,98.97
CON3,1,10,125,5.0,115,100000,99996,100.0
CON3,1,10,150,1.0,140,100000,92416,92.42
CON3,1,10,150,2.0,140,100000,97503,97.5
CON3,1,10,150,5.0,140,100000,99927,99.93
CON3,2,0,100,1.0,100,100000,94267,94.27
CON3,2,0,100,2.0,100,100000,98263,98.26
CON3,2,0,100,5.0,100,100000,99997,100.0
CON3,2,0,125,1.0,125,100000,90691,90.69
CON3,2,0,125,2.0,125,100000,96212,96.21
CON3,2,0,125,5.0,125,100000,99914,99.91
CON3,2,0,150,1.0,150,100000,84306,84.31
CON3,2,0,150,2.0,150,100000,92219,92.22
CON3,2,0,150,5.0,150,100000,99092,99.09
CON3,2,10,100,1.0,90,100000,94868,94.87
CON3,2,10,100,2.0,90,100000,98548,98.55
CON3,2,10,100,5.0,90,100000,100000,100.0
CON3,2,10,125,1.0,115,100000,91291,91.29
CON3,2,10,125,2.0,115,100000,96521,96.52
CON3,2,10,125,5.0,115,100000,99946,99.95
CON3,2,10,150,1.0,140,100000,84828,84.83
CON3,2,10,150,2.0,140,100000,92538,92.54
CON3,2,10,150,5.0,140,100000,99217,99.22
