gene,CON1,CON2,CON3,APP1,APP2,APP3,CIH1,CIH2,CIH3,IL1,IL2,IL3
1104|11154,42,72,73,157,208,150,187,164,252,3,20,4
1104|11155,0,1,0,0,0,1,0,0,0,0,0,0
1104|11156,0,1,1,4,3,2,44,39,62,0,0,1
1104|11157,14,16,32,79,99,107,41,38,47,3,8,1
1104|11158,0,2,3,1,0,1,0,0,0,0,2,2
1104|11159,0,0,0,0,0,0,0,0,0,1,3,1
1104|11160,5,7,10,2,1,0,2,0,1,7,3,0
1104|11161,396,500,712,12,10,13,10,10,10,23,31,24
1104|11162,406,599,657,93,82,121,23,15,14,17,37,18
1104|11163,1,1,1,1,2,6,0,1,4,0,0,0
1104|11164,24,59,64,7,10,3,190,159,154,10,12,10
1104|11165,2,1,3,31,26,29,10,21,20,1,3,0
1104|11166,54,57,63,14,7,4,9,17,17,2,0,1
1104|11167,1,0,0,4,5,6,15,14,12,0,1,0
1104|11168,80,92,104,268,363,330,175,257,180,12,51,27
1104|11169,0,1,0,0,1,3,0,0,0,0,8,6
1104|11170,0,0,0,0,0,0,0,0,0,0,0,0
1104|11171,0,0,0,0,0,0,0,0,1,0,0,0
1104|11172,0,2,2,6,5,1,8,17,9,7,24,12
1104|11173,0,0,0,0,0,0,0,0,0,0,0,0
1104|11174,0,0,1,0,0,0,0,0,0,0,0,0
1104|11175,1,1,2,2,7,2,0,0,0,1,0,0
1104|11176,2,5,3,0,0,1,0,0,1,1,0,1
1104|11177,0,0,0,0,0,0,0,0,0,0,0,0
1104|11178,0,0,0,0,0,0,0,0,0,0,0,0
1104|11179,21,29,36,38,34,52,468,589,773,15,57,44
1104|11180,4,4,9,5,17,9,20,14,23,0,2,2
1104|11181,2,0,4,0,3,1,0,0,2,1,0,0
1104|11182,0,0,0,13,7,4,55,41,102,1,2,0
1104|11183,5,0,6,2,4,6,2,1,3,1,7,8
1104|11184,82,110,124,458,620,540,349,335,259,14,36,15
1104|11185,3,3,5,1928,1236,1002,275,253,376,36,66,49
1104|11186,160,153,177,195,336,347,199,245,154,18,43,33
1104|11187,0,0,0,0,0,0,0,0,0,0,0,0
1104|11188,229,279,326,47047,42463,51186,89,70,117,145,345,199
1104|11189,48,60,36,127,112,116,62,80,61,6,11,2
1104|11190,397,379,523,301,275,383,313,394,369,4,6,12
1104|11191,0,0,0,20,26,20,10,6,5,1,1,3
1104|11192,7,8,9,7136,7617,9062,23,20,15,34,83,43
1104|11193,1,1,1,0,0,0,0,0,0,0,0,0
1104|11194,3,4,5,9,7,15,27,23,18,4,8,4
1104|11195,14,9,10,336,497,376,627,888,1191,2,3,3
1104|11196,0,0,0,24,9,16,103,122,93,0,1,0
1104|11197,1,0,0,0,0,0,0,0,0,0,0,0
1104|11198,15,14,20,2,3,4,0,0,0,0,0,0
1104|11199,38,39,51,68,93,111,30,26,42,2,3,5
1104|11200,0,4,1,5,7,11,1,0,0,0,0,0
1104|11201,0,0,0,1,0,0,137,138,214,0,0,0
1104|11202,0,0,0,5,1,2,1,0,0,0,1,3
1104|11203,0,0,0,0,0,0,0,0,0,0,0,0
1104|11204,1,2,2,0,0,0,0,0,0,0,0,0
1104|11205,0,0,0,0,0,0,1,0,0,0,0,0
1104|11206,0,0,0,0,0,0,0,0,0,0,0,0
