term_id,term_name,gene
FS001,Major facilitator superfamily transporter,1104|11900
FS001,Major facilitator superfamily transporter,1104|11909
FS001,Major facilitator superfamily transporter,1104|11930
FS001,Major facilitator superfamily transporter,1104|12029
FS001,Major facilitator superfamily transporter,1104|12039
FS001,Major facilitator superfamily transporter,1104|12052
FS001,Major facilitator superfamily transporter,1104|12056
FS001,Major facilitator superfamily transporter,1104|12143
FS001,Major facilitator superfamily transporter,1104|12176
FS001,Major facilitator superfamily transporter,1104|12219
FS001,Major facilitator superfamily transporter,1104|12498
FS001,Major facilitator superfamily transporter,1104|12518
FS001,Major facilitator superfamily transporter,1104|12546
FS001,Major facilitator superfamily transporter,1104|12603
FS001,Major facilitator superfamily transporter,1104|12657
FS001,Major facilitator superfamily transporter,1104|12754
FS001,Major facilitator superfamily transporter,1104|12839
FS001,Major facilitator superfamily transporter,1104|12911
FS001,Major facilitator superfamily transporter,1104|12993
FS001,Major facilitator superfamily transporter,1104|13060
FS001,Major facilitator superfamily transporter,1104|13066
FS001,Major facilitator superfamily transporter,1104|13131
FS001,Major facilitator superfamily transporter,1104|13282
FS001,Major facilitator superfamily transporter,1104|13283
FS001,Major facilitator superfamily transporter,1104|13358
FS001,Major facilitator superfamily transporter,1104|13374
FS001,Major facilitator superfamily transporter,1104|13440
FS001,Major facilitator superfamily transporter,1104|13525
FS001,Major facilitator superfamily transporter,1104|13538
FS001,Major facilitator superfamily transporter,1104|13583
FS001,Major facilitator superfamily transporter,1104|13592
FS001,Major facilitator superfamily transporter,1104|13744
FS001,Major facilitator superfamily transporter,1104|13769
FS001,Major facilitator superfamily transporter,1104|13869
FS001,Major facilitator superfamily transporter,1104|14030
FS001,Major facilitator superfamily transporter,1104|14092
FS001,Major facilitator superfamily transporter,1104|14105
FS001,Major facilitator superfamily transporter,1104|14116
FS001,Major facilitator superfamily transporter,1104|14129
FS001,Major facilitator superfamily transporter,1104|14183
FS001,Major facilitator superfamily transporter,1104|14196
FS001,Major facilitator superfamily transporter,1104|14208
FS001,Major facilitator superfamily transporter,1104|14220
FS001,Major facilitator superfamily transporter,1104|14235
FS001,Major facilitator superfamily transporter,1104|14256
